brewery_id,X,count.x,abv,ibu,id,beer,style,ounces,style2,count.y,brewery,city.x,state.x,label,Name,city.y,state.y,Imputed_IBU
1,75,75,0.066,21,2681,Flesh Gourd'n,Pumpkin Ale,16,NA,2,Against the Grain Brewery,Louisville,KY,Flesh Gourd'n (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,21
1,73,73,0.042,42,2683,A Beer,American Pale Ale (APA),16,American Pale Ale (APA),2,Against the Grain Brewery,Louisville,KY,A Beer (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,42
1,74,74,0.05,25,2682,Rules are Rules,German Pilsener,16,NA,2,Against the Grain Brewery,Louisville,KY,Rules are Rules (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,25
1,79,79,0.051,38,2677,Coq de la Marche,Saison / Farmhouse Ale,16,NA,2,Against the Grain Brewery,Louisville,KY,Coq de la Marche (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,38
1,76,76,0.04,13,2680,Sho'nuff,Belgian Pale Ale,16,NA,2,Against the Grain Brewery,Louisville,KY,Sho'nuff (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,13
1,77,77,0.055,17,2679,Bloody Show,American Pilsner,16,NA,2,Against the Grain Brewery,Louisville,KY,Bloody Show (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,17
1,78,78,0.076,68,2678,Rico Sauvin,American Double / Imperial IPA,16,American Double / Imperial IPA,2,Against the Grain Brewery,Louisville,KY,Rico Sauvin (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,68
1,70,70,0.08,68,2686,Citra Ass Down,American Double / Imperial IPA,16,American Double / Imperial IPA,2,Against the Grain Brewery,Louisville,KY,Citra Ass Down (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,68
1,71,71,0.125,80,2685,London Balling,English Barleywine,16,NA,2,Against the Grain Brewery,Louisville,KY,London Balling (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,80
1,72,72,0.077,25,2684,35 K,Milk / Sweet Stout,16,NA,2,Against the Grain Brewery,Louisville,KY,35 K (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,25
1,80,80,0.065,NA,2676,Kamen Knuddeln,American Wild Ale,16,NA,2,Against the Grain Brewery,Louisville,KY,Kamen Knuddeln (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,60
1,81,81,0.06,65,2675,Pile of Face,American IPA,16,American IPA,2,Against the Grain Brewery,Louisville,KY,Pile of Face (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,65
1,82,82,0.05,20,2674,The Brown Note,English Brown Ale,16,NA,2,Against the Grain Brewery,Louisville,KY,The Brown Note (Against the Grain Brewery),NorthGate Brewing ,Minneapolis, MN,20
